,uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
uhlm_pressao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp_uhlm_oleo,,1.0,0.28,0.42,-0.22,0.65,0.72,-0.64,,0.35,0.83,-0.13,0.73,0.73,0.73,,0.65,0.65,0.66,-0.12,0.76,0.76,0.04,0.65,-0.57,0.65,0.01,0.87,0.86,0.86,0.86,0.86,0.86,0.04,0.14,0.68,0.42,0.35,0.75,0.93,0.95,0.99,0.26,0.23,-0.09,,,,0.65,0.65,0.65
uhrv_pressao,,0.28,1.0,0.22,-0.41,0.26,0.34,-0.07,,0.17,0.23,0.02,0.33,0.33,0.33,,0.21,0.21,0.21,-0.0,0.32,0.32,0.01,0.21,-0.17,0.21,-0.0,0.35,0.34,0.34,0.36,0.35,0.35,-0.02,0.06,0.22,0.05,0.02,0.41,0.44,0.38,0.32,-0.03,0.2,-0.01,,,,0.21,0.21,0.21
temp_uhrv_oleo,,0.42,0.22,1.0,-0.15,0.02,0.1,-0.09,,0.13,0.04,0.54,0.09,0.09,0.09,,-0.02,-0.03,-0.02,0.53,0.1,0.1,0.01,-0.02,0.06,-0.02,0.0,0.4,0.39,0.39,0.46,0.48,0.47,-0.05,0.15,0.52,0.31,0.44,0.49,0.33,0.32,0.35,0.0,0.15,0.61,,,,-0.03,-0.03,-0.03
status,,-0.22,-0.41,-0.15,1.0,-0.12,-0.19,0.18,,-0.1,-0.17,-0.07,-0.16,-0.16,-0.16,,-0.11,-0.12,-0.12,-0.07,-0.16,-0.16,-0.0,-0.12,0.1,-0.12,0.0,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.01,-0.03,-0.16,-0.09,-0.08,-0.23,-0.3,-0.28,-0.23,0.03,-0.58,-0.07,,,,-0.11,-0.12,-0.11
distribuidor,,0.65,0.26,0.02,-0.12,1.0,0.73,-0.56,,0.27,0.8,-0.38,0.74,0.74,0.74,,0.94,0.94,0.94,-0.37,0.81,0.81,0.02,0.94,-0.86,0.94,-0.0,0.71,0.72,0.72,0.63,0.61,0.63,0.01,0.03,0.27,0.04,-0.08,0.51,0.66,0.69,0.69,0.22,0.02,-0.38,,,,0.94,0.94,0.94
velocidade,,0.72,0.34,0.1,-0.19,0.73,1.0,-0.91,,0.33,0.74,-0.24,0.98,0.98,0.98,,0.7,0.7,0.7,-0.22,0.97,0.97,0.01,0.7,-0.6,0.7,-0.02,0.64,0.64,0.64,0.6,0.59,0.59,0.01,0.06,0.4,0.13,0.01,0.59,0.83,0.86,0.75,0.33,0.23,-0.24,,,,0.7,0.7,0.69
posicao_rotor,,-0.64,-0.07,-0.09,0.18,-0.56,-0.91,1.0,,-0.28,-0.62,0.11,-0.89,-0.89,-0.89,,-0.52,-0.52,-0.52,0.09,-0.86,-0.86,-0.0,-0.52,0.42,-0.52,0.02,-0.48,-0.48,-0.48,-0.46,-0.45,-0.45,-0.01,-0.05,-0.37,-0.14,-0.06,-0.47,-0.71,-0.75,-0.64,-0.3,-0.25,0.11,,,,-0.51,-0.52,-0.51
turbina_vazao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp_manc_casq_comb,,0.35,0.17,0.13,-0.1,0.27,0.33,-0.28,,1.0,0.29,-0.06,0.33,0.33,0.33,,0.26,0.26,0.26,-0.05,0.33,0.33,0.01,0.26,-0.22,0.26,0.0,0.32,0.32,0.32,0.32,0.31,0.31,0.01,0.04,0.22,0.12,0.07,0.3,0.38,0.38,0.36,0.12,0.11,-0.05,,,,0.26,0.26,0.26
temp_manc_casq_esc,,0.83,0.23,0.04,-0.17,0.8,0.74,-0.62,,0.29,1.0,-0.37,0.75,0.75,0.75,,0.84,0.84,0.84,-0.36,0.8,0.8,0.04,0.84,-0.76,0.84,0.01,0.78,0.78,0.78,0.73,0.71,0.72,0.01,0.07,0.44,0.16,0.06,0.61,0.8,0.82,0.88,0.32,0.19,-0.36,,,,0.84,0.84,0.83
acumulador_energia,,-0.13,0.02,0.54,-0.07,-0.38,-0.24,0.11,,-0.06,-0.37,1.0,-0.24,-0.24,-0.24,,-0.39,-0.4,-0.4,0.99,-0.27,-0.27,-0.01,-0.4,0.44,-0.4,0.02,-0.21,-0.22,-0.21,-0.15,-0.14,-0.15,-0.19,0.07,-0.02,-0.13,0.05,0.09,-0.17,-0.18,-0.19,-0.14,0.06,0.99,,,,-0.4,-0.4,-0.4
