uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
0.0,34.3,119.824,35.0,0,-0.0366211,31,99.0,0,47.3,34.9,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.4,41.9,42.1,42.3,41.6,41.3,2.71536e+23,34.2,35.6,61.7,46.2,37.3,42.2,39.3,39.0,403.512,403.462,9.2,0,0,0,0,0,0
0.0,34.2,116.592,35.0,0,-0.0366211,30,99.0,0,47.0,34.7,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.4,41.9,42.1,42.3,41.6,41.3,2.71536e+23,34.2,35.5,61.4,46.0,37.3,42.1,39.1,38.8,403.619,403.555,9.2,0,0,0,0,0,0
0.0,34.1,113.809,35.0,0,-0.0488281,31,99.0,0,46.8,34.5,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.3,41.8,42.0,42.3,41.6,41.2,0.0,34.2,35.5,60.6,45.4,37.3,42.0,38.9,38.6,403.688,403.635,9.2,0,0,0,0,0,0
0.0,33.8,128.086,35.0,0,-0.0366211,31,99.0,0,46.4,34.1,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.3,41.8,41.9,42.3,41.6,41.2,-1.5923200000000002e-23,34.1,35.4,59.3,44.8,37.3,41.6,38.5,38.1,403.775,403.723,9.2,0,0,0,0,0,0
0.0,33.4,117.861,34.9,0,-0.0244141,31,99.0,0,46.0,33.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.2,41.7,41.9,42.3,41.5,41.2,-1.5923200000000002e-23,34.0,35.3,57.5,44.0,37.3,41.3,38.2,37.7,403.856,403.806,9.2,0,0,0,0,0,0
0.0,33.2,111.182,34.9,0,-0.0244141,30,99.0,0,45.6,33.5,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.1,41.6,41.8,42.2,41.5,41.2,4.16767e-08,33.9,35.1,55.9,43.1,37.3,41.0,37.8,37.3,403.925,403.867,9.2,0,0,0,0,0,0
0.0,32.9,123.096,34.8,0,-0.0244141,30,99.0,0,45.3,33.3,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.1,41.6,41.8,42.2,41.5,41.1,2.71536e+23,33.8,35.0,54.6,42.7,37.3,40.8,37.6,36.8,403.987,403.927,9.2,0,0,0,0,0,0
0.0,32.6,114.854,34.8,0,-0.0366211,31,99.0,0,45.0,33.0,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.0,41.5,41.7,42.2,41.5,41.1,2.71536e+23,33.8,35.0,53.3,41.6,37.3,40.6,37.2,36.4,404.037,403.982,9.2,0,0,0,0,0,0
0.0,32.3,130.684,34.7,0,-0.0488281,31,99.0,0,44.6,32.8,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.0,41.4,41.6,42.2,41.4,41.0,-1.5923200000000002e-23,33.7,34.9,52.0,41.4,37.3,40.4,37.0,36.1,404.1,404.036,9.2,0,0,0,0,0,0
0.0,32.1,119.424,34.7,0,-0.0244141,30,99.0,0,44.4,32.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,41.0,41.4,41.6,42.1,41.3,41.0,-1.5923200000000002e-23,33.6,34.7,51.2,41.0,37.3,40.1,36.8,35.8,404.156,404.094,9.2,0,0,0,0,0,0
