,0
uhlm_pressao,392989
temp_uhlm_oleo,17
uhrv_pressao,6206
temp_uhrv_oleo,17
status,390034
distribuidor,445
velocidade,2988
posicao_rotor,118
turbina_vazao,392989
temp_manc_casq_comb,17
temp_manc_casq_esc,17
acumulador_energia,0
tensao_fase_A,87888
tensao_fase_B,87885
tensao_fase_C,87881
tensao_neutro,392989
corrente_fase_A,89628
corrente_fase_B,89638
corrente_fase_C,89622
corrente_neutro,2
tensao_excitacao,87887
corrente_excitacao,87890
frequencia,1
potencia_ativa,89607
potencia_reativa,91356
potencia_aparente,89602
fp,2
temp_enrol_A,17
temp_enrol_B,17
temp_enrol_C,17
temp_nucleo_estator_01,17
temp_nucleo_estator_02,17
temp_nucleo_estator_03,17
temp_tiristor_01,3527
temp_tiristor_02,17
temp_tiristor_03,17
temp_crowbar_01,18
temp_crowbar_02,17
temp_transf_excitacao,17
temp_casq_rad_comb,21
temp_mancal_casq_guia,17
temp_mancal_cont_esc,17
nivel_montante,0
nivel_jusante,0
horimetro_eletrico,0
tensaoL_fase_AB,392989
tensaoL_fase_BC,392989
tensaoL_fase_CA,392989
correnteL_fase_A,89630
correnteL_fase_B,89626
correnteL_fase_C,89644
